code,Region_Name,Year,EC_XPD__CAP_CR,HOU_ELC_ACSN_ZS,HOU_MLT_MAIN_ZS,ROD_DIST_BDMG_BM_KM,ROD_DIST_FAIR_BM_KM,ROD_DIST_GOOD_BM_KM,ROD_DIST_LDMG_BM_KM,SE_SRSEC_NENR_ZS,SL_EMP_AGR_FRST_FSH,SL_TLF,SP_URB_TOTL_ZS,LND_TOTL_K2,EC_XPD_TOTL_CR,SP_POP_TOTL,REV_TOTL_CR,DAK_INFR_CR,DAK_INFR_ROD_CR,ROD_VILG_ASPH_ZS,ROD_VILG_DIRT_ZS,ROD_VILG_GRAVL_ZS,ROD_VILG_OTHR_ZS
1101,"Simeulue, Kab.",2000,,,3.04,60,34,28,193,,,,15.92,,,,44784887000,,,9.33,42.67,37.33,
1101,"Simeulue, Kab.",2001,38319242951,,,,,,,,,,,2125.12,84627245112,57635,93915754266,,,,,,
1101,"Simeulue, Kab.",2002,,,,,,,,,,,,2125.12,,58359,,,,,,,
1101,"Simeulue, Kab.",2003,,52.97,5.07,,,,,25.27,,,,2125.12,,59093,,7,7,33.33,33.33,17.28,1.23
1101,"Simeulue, Kab.",2004,,70.62,,,,,,55.64,,,,2125.12,,71453,,3.87,2.27,,,,
1101,"Simeulue, Kab.",2005,,,8.7,,,,,,,,,2051.16,,72110,,4.4,2.27,37.78,19.26,39.26,1.48
1101,"Simeulue, Kab.",2006,48482226649,71.08,,,,,,68.96,,,,2051.16,176690758251,80380,240531733158,7.51,4.85,,,,
1101,"Simeulue, Kab.",2007,,72.68,,,,,,69.16,14941,33928,,2051.16,,81127,270923514264,12.433,7.678,,,,
1101,"Simeulue, Kab.",2008,80490781582,75.87,2.68,48,83,16,170,68.31,26405,30452,,2051.48,520239214475,81790,317434134656,15.609,9.495,24.64,11.59,58.7,0.72
1101,"Simeulue, Kab.",2009,128608654428,82.14,,,,,,74.17,15242,31720,,2051.48,406199358715,82344,314177154726,14.383,8.995,,,,
1101,"Simeulue, Kab.",2010,48706067989,76.55708,,,,,,69.79,14386,33337,18.55,,307810318507,80674,307380910475,,,,,,
1101,"Simeulue, Kab.",2011,81156174023,85.33374,3.079551,,,,,64.16,20996,35856,18.54652,,337884737773,83006,383442137603,,,58.08823,5.882353,36.02941,
1101,"Simeulue, Kab.",2012,59546842775,89.49,,,,,,69.41,17473,33310,,,396916000000,84722,419857000000,,,,,,
1101,"Simeulue, Kab.",2013,83195200778,95.8775177,,,,,,75.463066,18433,32225,,,,86206,485545686994,,,,,,
1101,"Simeulue, Kab.",2014,,,,,,,,88.17,,,,,,,,,,,,,
1102,"Aceh Singkil, Kab.",2000,,,2.27,,,,,,,,20.5,,,,46719848000,,,31.25,9.03,27.08,0.69
1102,"Aceh Singkil, Kab.",2001,57564706366,,,,,,,,,,,3964,131341690000,121678,131225390000,,,,,,
1102,"Aceh Singkil, Kab.",2002,,,,,,,,,,,,3964,,123209,,,,,,,
1102,"Aceh Singkil, Kab.",2003,,70.93,1.93,,,,,51.06,,,,3964,,124758,,1.2,1.2,26.46,13.76,31.22,0.53
1102,"Aceh Singkil, Kab.",2004,,87.28,,,,,,54.64,,,,3964,,147117,,3.57,2.17,,,,
1102,"Aceh Singkil, Kab.",2005,45541703539,,3.55,,,,,,,,,3576,177811127194,152594,203925329984,4.08,2.31,43.16,19.47,26.84,0.53
1102,"Aceh Singkil, Kab.",2006,61094396031,86.72,,,,,,50.83,,,,3576,264842027607,92605,277701178501,7.25,4.45,,,,
1102,"Aceh Singkil, Kab.",2007,122501815456,90.7,,,,,,56.78,26290,55558,,3576,351040897671,94961,318775101621,11.193,6.265,,,,
